1.2,79259,24778,23513,45707,14610,13955
1.2.1,80469,25067,23783,46437,14770,14100
1.2.2,95285,28709,27206,52656,15780,15081
1.2.3,96763,28964,27476,54075,16020,15308
1.2.4,97623,29222,27704,54620,16178,15460
1.2.5,99997,30376,28790,55715,16861,16107
1.2.6,100196,30444,28856,55774,16885,16129
1.3,116798,34463,32648,55026,19221,18409
1.3.1,117302,34624,32807,55272,19344,18510
1.3.2,120619,35410,33505,57254,19936,19073
1.4,158407,44946,42503,69838,23851,22934
1.4.1,160712,45544,43033,70843,24190,23247
1.4.2,163855,46230,43668,72174,24738,23794
1.4.3,180459,51266,48449,77746,26945,25868
1.4.4,183184,51977,49044,78601,27281,26190
1.5,211978,61048,57535,84362,29561,28280
1.5.1,216840,62677,59072,85260,29888,28590
1.5.2,219227,63504,59879,85925,30130,28824
1.6,232651,67115,63344,90518,31791,30462
1.6.1,234995,67761,63993,91342,32170,30812
1.6.2,236202,68103,64272,91556,32285,30915
1.6.3,238009,68833,64975,91626,32265,30894
1.6.4,238159,68880,64980,91669,32270,30902
1.7,249159,73007,68884,94020,33503,32094
1.7.1,248235,72686,68613,93868,33375,31986
1.7.2,252881,74030,69926,94840,33883,32471
1.8.0,258377,76939,72744,92555,33318,31949
1.8.1,259996,77545,73346,92792,33427,32070
1.8.2,265218,79123,74808,93435,33650,32271
1.8.3,266057,79476,75132,93636,33621,32273
1.9.0,267320,79677,75262,93068,33170,31801
1.9.1,268381,80123,75739,92629,33048,31691
1.10.0,273810,81682,77170,93026,32999,31687
1.10.1,274080,81785,77236,93064,33020,31712
1.10.2,273199,81429,76896,93107,32993,31669
1.11.0,282944,84199,79584,96381,33619,32240
1.11.1,282766,84496,79880,95786,33469,32095
1.11.2,284184,85078,80425,95931,33533,32165
1.11.3,284394,85183,80525,95957,33521,32168
1.12.0,294161,88057,83236,97362,34081,32657
1.12.1,294199,88057,83175,97403,34094,32666
1.12.2,293840,87924,83105,97244,34044,32616
1.12.3,293650,87863,83050,97180,34027,32601
1.12.4,293430,87812,82957,97163,33987,32568
2.0.0,240196,71316,67404,83095,29244,28068
2.0.1,242727,72140,68169,83519,29491,28282
2.0.2,242915,72241,68257,83501,29504,28295
2.0.3,242142,71962,68014,83612,29491,28275
2.1.0,244963,72725,68585,83615,29517,28303
2.1.1,247351,73452,69299,84245,29709,28484
2.1.2,247380,73589,69453,84318,29749,28508
2.1.3,247387,73591,69458,84320,29750,28510
2.1.4,247597,73699,69567,84345,29741,28521
2.2.0,258388,77097,72928,85589,30116,28864
2.2.1,258549,77179,72909,85630,30130,28871
2.2.2,258648,77173,72980,85656,30118,28866
2.2.3,258648,77171,72973,85659,30117,28864
2.2.4,257551,76769,72592,85578,30055,28801
3.0.0,263268,78314,73967,86341,30222,28989
3.1.0,263767,78468,74122,86351,30249,29010
3.1.1,267194,79212,74791,86709,30281,29052
3.2.0,267686,79519,75098,86596,30317,29066
3.2.1,268039,79643,75214,86659,30345,29091
3.3.0,271751,80838,76355,86927,30451,29249
3.3.1,271751,80838,76355,86927,30451,29249
3.0.0-slim,210179,62469,59011,68924,23838,22870
3.1.0-slim,210659,62633,59208,68952,23876,22902
3.1.1-slim,214014,63375,59930,69309,23903,22937
3.2.0-slim,214903,63739,60256,69533,24036,23044
3.2.1-slim,215256,63861,60352,69597,24059,23066
3.3.0-slim,218897,65000,61473,69917,24215,23242
3.3.1-slim,218897,65001,61472,69917,24215,23242
